Second | Worker 1 | Worker 2 | Worker 3 | Worker 4 | Worker 5 |
---------------------------------------------------------------
     0 |     Y    |     O    |     F    |     D    |     *    |
     1 |     Y    |     O    |     F    |     D    |     *    |
     2 |     Y    |     O    |     F    |     D    |     *    |
     3 |     Y    |     O    |     F    |     D    |     *    |
     4 |     Y    |     O    |     F    |     D    |     *    |
     5 |     Y    |     O    |     F    |     D    |     *    |
     6 |     Y    |     O    |     F    |     D    |     *    |
     7 |     Y    |     O    |     F    |     D    |     *    |
     8 |     Y    |     O    |     F    |     D    |     *    |
     9 |     Y    |     O    |     F    |     D    |     *    |
    10 |     Y    |     O    |     F    |     D    |     *    |
    11 |     Y    |     O    |     F    |     D    |     *    |
    12 |     Y    |     O    |     F    |     D    |     *    |
    13 |     Y    |     O    |     F    |     D    |     *    |
    14 |     Y    |     O    |     F    |     D    |     *    |
    15 |     Y    |     O    |     F    |     D    |     *    |
    16 |     Y    |     O    |     F    |     D    |     *    |
    17 |     Y    |     O    |     F    |     D    |     *    |
    18 |     Y    |     O    |     F    |     D    |     *    |
    19 |     Y    |     O    |     F    |     D    |     *    |
    20 |     Y    |     O    |     F    |     D    |     *    |
    21 |     Y    |     O    |     F    |     D    |     *    |
    22 |     Y    |     O    |     F    |     D    |     *    |
    23 |     Y    |     O    |     F    |     D    |     *    |
    24 |     Y    |     O    |     F    |     D    |     *    |
    25 |     Y    |     O    |     F    |     D    |     *    |
    26 |     Y    |     O    |     F    |     D    |     *    |
    27 |     Y    |     O    |     F    |     D    |     *    |
    28 |     Y    |     O    |     F    |     D    |     *    |
    29 |     Y    |     O    |     F    |     D    |     *    |
    30 |     Y    |     O    |     F    |     D    |     *    |
    31 |     Y    |     O    |     F    |     D    |     *    |
    32 |     Y    |     O    |     F    |     D    |     *    |
    33 |     Y    |     O    |     F    |     D    |     *    |
    34 |     Y    |     O    |     F    |     D    |     *    |
    35 |     Y    |     O    |     F    |     D    |     *    |
    36 |     Y    |     O    |     F    |     D    |     *    |
    37 |     Y    |     O    |     F    |     D    |     *    |
    38 |     Y    |     O    |     F    |     D    |     *    |
    39 |     Y    |     O    |     F    |     D    |     *    |
    40 |     Y    |     O    |     F    |     D    |     *    |
    41 |     Y    |     O    |     F    |     D    |     *    |
    42 |     Y    |     O    |     F    |     D    |     *    |
    43 |     Y    |     O    |     F    |     D    |     *    |
    44 |     Y    |     O    |     F    |     D    |     *    |
    45 |     Y    |     O    |     F    |     D    |     *    |
    46 |     Y    |     O    |     F    |     D    |     *    |
    47 |     Y    |     O    |     F    |     D    |     *    |
    48 |     Y    |     O    |     F    |     D    |     *    |
    49 |     Y    |     O    |     F    |     D    |     *    |
    50 |     Y    |     O    |     F    |     D    |     *    |
    51 |     Y    |     O    |     F    |     D    |     *    |
    52 |     Y    |     O    |     F    |     D    |     *    |
    53 |     Y    |     O    |     F    |     D    |     *    |
    54 |     Y    |     O    |     F    |     D    |     *    |
    55 |     Y    |     O    |     F    |     D    |     *    |
    56 |     Y    |     O    |     F    |     D    |     *    |
    57 |     Y    |     O    |     F    |     D    |     *    |
    58 |     Y    |     O    |     F    |     D    |     *    |
    59 |     Y    |     O    |     F    |     D    |     *    |
    60 |     Y    |     O    |     F    |     D    |     *    |
    61 |     Y    |     O    |     F    |     D    |     *    |
    62 |     Y    |     O    |     F    |     D    |     *    |
    63 |     Y    |     O    |     F    |     D    |     *    |
    64 |     Y    |     O    |     F    |     T    |     *    |
    65 |     Y    |     O    |     F    |     T    |     *    |
    66 |     Y    |     O    |     Q    |     T    |     *    |
    67 |     Y    |     O    |     Q    |     T    |     *    |
    68 |     Y    |     O    |     Q    |     T    |     *    |
    69 |     Y    |     O    |     Q    |     T    |     *    |
    70 |     Y    |     O    |     Q    |     T    |     *    |
    71 |     Y    |     O    |     Q    |     T    |     *    |
    72 |     Y    |     O    |     Q    |     T    |     *    |
    73 |     Y    |     O    |     Q    |     T    |     *    |
    74 |     Y    |     O    |     Q    |     T    |     *    |
    75 |     Y    |     *    |     Q    |     T    |     *    |
    76 |     Y    |     *    |     Q    |     T    |     *    |
    77 |     Y    |     *    |     Q    |     T    |     *    |
    78 |     Y    |     *    |     Q    |     T    |     *    |
    79 |     Y    |     *    |     Q    |     T    |     *    |
    80 |     Y    |     *    |     Q    |     T    |     *    |
    81 |     Y    |     *    |     Q    |     T    |     *    |
    82 |     Y    |     *    |     Q    |     T    |     *    |
    83 |     Y    |     *    |     Q    |     T    |     *    |
    84 |     Y    |     *    |     Q    |     T    |     *    |
    85 |     V    |     R    |     Q    |     T    |     *    |
    86 |     V    |     R    |     Q    |     T    |     *    |
    87 |     V    |     R    |     Q    |     T    |     *    |
    88 |     V    |     R    |     Q    |     T    |     *    |
    89 |     V    |     R    |     Q    |     T    |     *    |
    90 |     V    |     R    |     Q    |     T    |     *    |
    91 |     V    |     R    |     Q    |     T    |     *    |
    92 |     V    |     R    |     Q    |     T    |     *    |
    93 |     V    |     R    |     Q    |     T    |     *    |
    94 |     V    |     R    |     Q    |     T    |     *    |
    95 |     V    |     R    |     Q    |     T    |     *    |
    96 |     V    |     R    |     Q    |     T    |     *    |
    97 |     V    |     R    |     Q    |     T    |     *    |
    98 |     V    |     R    |     Q    |     T    |     *    |
    99 |     V    |     R    |     Q    |     T    |     *    |
   100 |     V    |     R    |     Q    |     T    |     *    |
   101 |     V    |     R    |     Q    |     T    |     *    |
   102 |     V    |     R    |     Q    |     T    |     *    |
   103 |     V    |     R    |     Q    |     T    |     *    |
   104 |     V    |     R    |     Q    |     T    |     *    |
   105 |     V    |     R    |     Q    |     T    |     *    |
   106 |     V    |     R    |     Q    |     T    |     *    |
   107 |     V    |     R    |     Q    |     T    |     *    |
   108 |     V    |     R    |     Q    |     T    |     *    |
   109 |     V    |     R    |     Q    |     T    |     *    |
   110 |     V    |     R    |     Q    |     T    |     *    |
   111 |     V    |     R    |     Q    |     T    |     *    |
   112 |     V    |     R    |     Q    |     T    |     *    |
   113 |     V    |     R    |     Q    |     T    |     *    |
   114 |     V    |     R    |     Q    |     T    |     *    |
   115 |     V    |     R    |     Q    |     T    |     *    |
   116 |     V    |     R    |     Q    |     T    |     *    |
   117 |     V    |     R    |     Q    |     T    |     *    |
   118 |     V    |     R    |     Q    |     T    |     *    |
   119 |     V    |     R    |     Q    |     T    |     *    |
   120 |     V    |     R    |     Q    |     T    |     *    |
   121 |     V    |     R    |     Q    |     T    |     *    |
   122 |     V    |     R    |     Q    |     T    |     *    |
   123 |     V    |     R    |     Q    |     T    |     *    |
   124 |     V    |     R    |     Q    |     T    |     *    |
   125 |     V    |     R    |     Q    |     T    |     *    |
   126 |     V    |     R    |     Q    |     T    |     *    |
   127 |     V    |     R    |     Q    |     T    |     *    |
   128 |     V    |     R    |     Q    |     T    |     *    |
   129 |     V    |     R    |     Q    |     T    |     *    |
   130 |     V    |     R    |     Q    |     T    |     *    |
   131 |     V    |     R    |     Q    |     T    |     *    |
   132 |     V    |     R    |     Q    |     T    |     *    |
   133 |     V    |     R    |     Q    |     T    |     *    |
   134 |     V    |     R    |     Q    |     T    |     *    |
   135 |     V    |     R    |     Q    |     T    |     *    |
   136 |     V    |     R    |     Q    |     T    |     *    |
   137 |     V    |     R    |     Q    |     T    |     *    |
   138 |     V    |     R    |     Q    |     T    |     *    |
   139 |     V    |     R    |     Q    |     T    |     *    |
   140 |     V    |     R    |     Q    |     T    |     *    |
   141 |     V    |     R    |     Q    |     T    |     *    |
